repo_name,repo_full_name,Software Title,Description
donl_d7,dataoverheid/donl_d7,Donl_d7,https://data.overheid.nl Drupal 7 project
ckanext-donl,dataoverheid/ckanext-donl,ckanext-donl,Dit is Indicia's CKAN-extensie voor data.overheid.nl
ckan_settings,dataoverheid/ckan_settings,ckan_settings,"To be clear, generate a new secret-string in who.ini if you use this code."
donl_ngr,dataoverheid/donl_ngr,Download Composer,Run this in your terminal to get the latest Composer version:
donl_cbs,dataoverheid/donl_cbs,donl_cbs,De CBS import gebruikt binnen data.overheid.nl
donl_dpf,dataoverheid/donl_dpf,donl_dpf,De DPF import gebruikt binnen data.overheid.nl
DCAT-AP-NL,dataoverheid/DCAT-AP-NL,DCAT-AP-NL: DCAT Applicatieprofiel voor Nederland,"Deze github repository wordt gebruikt voor het bijhouden van DCAT-AP-NL. Het bevat de meest actuele redactieversie, inclusief specifieke gepubliceerde versies."
ckanext-dataoverheid,dataoverheid/ckanext-dataoverheid,ckanext-dataoverheid,CKAN extension used by [Data.Overheid.nl](https://data.overheid.nl) to implement the [DCAT-AP-DONL 1.1](https://dcat-ap-donl.readthedocs.io) metadata standard into CKAN.
dcat-ap-donl-waardelijsten,dataoverheid/dcat-ap-donl-waardelijsten,waardelijsten.dcat-ap-donl.nl,
ckan-metadata-export,dataoverheid/ckan-metadata-export,CKAN Metadata Export,
donlsync-mappings,dataoverheid/donlsync-mappings,DataOverheid / DonlSync mappings,
donlsync,dataoverheid/donlsync,Data.Overheid.nl synchronization,Synchronizes external catalogs with the [data.overheid.nl](https://data.overheid.nl) catalog.
solr-configsets,dataoverheid/solr-configsets,Solr Configsets,
solr-index-tasks,dataoverheid/solr-index-tasks,Solr Index Tasks,
drupal-web,dataoverheid/drupal-web,Data.overheid Drupal,This repository contains the Drupal installation which is used for
dcat-ap-donl,dataoverheid/dcat-ap-donl,Data.Overheid.nl / DCAT-AP-DONL,Deze repository is onderdeel van [data.overheid.nl](https://data.overheid.nl). Het ondersteunt de activiteiten van de
usagov.github.io,usagov/usagov.github.io,A Simple Redirect,"This usagov.github.io repo contains a single html file that will send visitors to http://usagov.github.io along to [USA.gov's Developer Resources Page](http://www.usa.gov/developer ""Developer Resources on USA.gov"")."
webforms,usagov/webforms,Combined repository for the Feedback and Orderform applications.,
usa.gov,usagov/usa.gov,USA.gov & GobiernoUSA.gov Feedback,The goal of this feedback repository is to facilitate a conversation about how to improve the USA.gov and GobiernoUSA.gov beta websites. Source code will not be located here (although we’re exploring putting more of our code out on GitHub).
Corporate-Consumer-Contact-API-Documentation,usagov/Corporate-Consumer-Contact-API-Documentation,"NOTE: This API has been deprecated and is no longer active.  For a list of active GSA APIs, please visit [https://open.gsa.gov/api/](https://open.gsa.gov/api/).",Corporate Consumer Contact API Documentation
Federal-Agency-Directory-API-Documentation,usagov/Federal-Agency-Directory-API-Documentation,"NOTE: This API has been deprecated and is no longer active.  For a list of active GSA APIs, please visit [https://open.gsa.gov/api/](https://open.gsa.gov/api/).",Federal Agency Directory API Documentation
Federal-Mobile-Product-API-Documentation,usagov/Federal-Mobile-Product-API-Documentation,Federal Mobile Product API Documentation,"The Federal Mobile Product API has been replaced by the U.S. Digital Registry API which serves as the authoritative resource for agencies, citizens and developers to confirm the official status of social media and public-facing collaboration accounts, mobile apps and mobile websites."
1.USA.gov-Data,usagov/1.USA.gov-Data,1.USA.gov Data,"We recently performed an evaluation on 1.USA.gov and found that the number of people who use the service is declining, and there is not strong support to continue the service.    As a result, we have decided to  deactivate the service on June 30, 2016.  You can read more about this decision on the [USAGov Blog](https://blog.usa.gov/decommissioning-1-usa-gov)."
Social-Media-Registry-API-Documentation,usagov/Social-Media-Registry-API-Documentation,Social Media Registry API Documentation,"The Social Media Registry API has been replaced by the U.S. Digital Registry API which serves as the authoritative resource for agencies, citizens and developers to confirm the official status of social media and public-facing collaboration accounts, mobile apps and mobile websites."
vote-2016,usagov/vote-2016,Vote 2016,"To get the SASS working, run `sass --watch assets/stylesheets/sass:assets/stylesheets/output` from the project directory."
explore,usagov/explore,explore,
vote-gov,usagov/vote-gov,Vote.gov,This repository contains the files and infrastructure to run the `vote.gov`
USAGov-Platform-API-Documentation,usagov/USAGov-Platform-API-Documentation,USAGov Platform API Documentation,"To see the full API reference, please see our [wiki page](https://github.com/usagov/USAGov-Platform-API-Documentation/wiki)."
vote-gov-static,usagov/vote-gov-static,Vote.gov - Generated HTML Version,This repositorary contains the generated HTML and related assets required to host Vote.gov in the [Federalist platform](https://federalist.18f.gov/).  Any changes to the site should be requested through the main [Vote.gov repositorary](https://github.com/18F/vote-gov).
Sandbox,usagov/Sandbox,Sandbox,"The goal of the sandbox project is to enable teams from across the division to take a new approach to providing government information and services to the public.  The team decided to focus on helping scam victims, as that is a common topic on both our websites and our contact center.  By the end of FY18, the team hopes to develop takeaways from our research that we can use to improve the public’s experience when they need to report a scam. We hope to look at solutions based around AI, harnessing data, and coordinating with our contact center."
dns,usagov/dns,TTS DNS configuration,"This repository holds the source code for configuring DNS for domains managed by GSA TTS, including 18F and the Presidential Innovation Fellows."
usagov-analytics-dashboard,usagov/usagov-analytics-dashboard,[![Code Climate](https://codeclimate.com/github/18F/analytics.usa.gov/badges/gpa.svg)](https://codeclimate.com/github/18F/analytics.usa.gov)  [![CircleCI](https://circleci.com/gh/18F/analytics.usa.gov.svg?style=shield)](https://circleci.com/gh/18F/analytics.usa.gov)  [![Dependency Status](https://gemnasium.com/badges/github.com/18F/analytics.usa.gov.svg)](https://gemnasium.com/github.com/18F/analytics.usa.gov),A project to publish website analytics for the US federal government.
usagov-prototype,usagov/usagov-prototype,<!--,Federalist recommends you use Continuous Integration to automatically test
usagov-2021,usagov/usagov-2021,USAgov 2021,A revamped USA.gov site using Drupal 10 and Cloud Foundry
usagov-elected-officials,usagov/usagov-elected-officials,USA.gov Elected Officials Project,Find useful information about your elected officials by typing in your address.
pangolin,usagov/pangolin,Pangolin,The home for work towards a TTS Future Public Service
test-at-home,usagov/test-at-home,Test At Home,Project Status :warning: :rotating_light:
go-sunset,usagov/go-sunset,go-sunset,A landing page for the service Go.USA.gov sunset.
vote-gov-drupal,usagov/vote-gov-drupal,Vote.gov Drupal 10 installation,NOTE: Lando requires a specific version of docker which is loaded as part of the lando package. Do not update docker separate from lando. When you update lando docker will be updated as well.
vote-gov-nvrf-app,usagov/vote-gov-nvrf-app,vote-gov-nvrf-app,2. run command ```npm i```
vote-gov-tf,usagov/vote-gov-tf,Cloud.gov Drupal Infrastructure,- [Web Application Firewall](applications/nginx-waf/README.md)
voice-alexa,usagov/voice-alexa,voice-alexa,
voice-cms,usagov/voice-cms,voice-cms,
voice-drupal,usagov/voice-drupal,voice-drupal,
usagov-logshipper,usagov/usagov-logshipper,USAGOV Logshipper,This repo contains USAGov-specific configuration for the https://github.com/gsa-tts/cg-logshipper.
cg-logshipper,usagov/cg-logshipper,cg-logshipper,Drain logs from cloud.gov into S3 and New Relic Logs
container-cypress-test,usagov/container-cypress-test,Cypress Container Test Repo,> The work done within this repo are proof of concept and should be used as a starting point for future work.
api_proxy_poc,usagov/api_proxy_poc,API Proxy for Cloud.gov,"This project is a **Flask-based API Proxy** designed to securely **relay API requests** while **hiding API credentials** from users. It enables a **test client** to send API queries via the proxy, ensuring credentials remain **server-side only, meaning, ONLY on the api-proxy buildpack, NOT the client-test, it NEVER has credentials**."
usagov-chatbot-pipeline,usagov/usagov-chatbot-pipeline,A pipeline for importing USA.gov static html into a local-only LLM,USAgov has created a small team to implement a proof of concept application for a USAgov-specific chatbot.
dataviz-gallery,opencode18/dataviz-gallery,Data Visualization Gallery,Collection of Cool Data Visualizations
opencode18,opencode18/opencode18,OpenCode'18,"Opencode is an open source event aimed to raise awareness about open source. It is a month long event where participants contribute to different projects and earn points simultaneously. A minified version of GSOC, OpenCode is organised by the FOSS wing of IIIT-Allahabad's technical society, Geekhaven."
OpenNews,opencode18/OpenNews,OpenNews,"<img src=""screenshots/logo.png"" width = ""400"" height= ""300"">"
Resources,opencode18/Resources,Welcome,Beginner? Do not worry you have came to the correct place.
OpenCode-Collaborative,opencode18/OpenCode-Collaborative,OpenCode Collaborative Website,"This event is over as of 10 Feb 2018, No new pr's will be merged (except score updates till next 24 hours). Thank you for participating and showing interest in OpenCode'18 and OpenSource."
CodeStash,opencode18/CodeStash,![Logo](assets/logo.png),CodeStash is a project under Opencode'18. On each day  after 12AM we will be adding the problem as an issue and the participants will have to solve the problem (any language) and in the PullRequest mention the link of the online judge so that we can verify your submissions.First person to solve the problem will be awarded 20 points and the rest submissions will be awarded 10 points.
ProDesigner,opencode18/ProDesigner,ProDesigner,-  [Created by Vishal Pani](https://codepen.io/falconis/pen/BJVbPo)
HackerSkills,opencode18/HackerSkills,HackerSkills,
OpenTerm,opencode18/OpenTerm,OpenTerm,OpenTerm is a web based terminal app where you can try different terminal commands
X-labs,opencode18/X-labs,X-labs,
mediawiki-etalab-skin,etalab/mediawiki-etalab-skin,Mediawiki ETALAB Skin,MediaWiki skin for ETALAB
etalab-assets,etalab/etalab-assets,ETALAB common assets,"ETALAB Shared assets (style, fonts, favicon...)"
etalab-assets-demo-images,etalab/etalab-assets-demo-images,etalab-assets-demo-images,Etalab assets demo only images
Data-Fundamentals,etalab/Data-Fundamentals,Avancement de la traduction,"Pour suivre l'avancement de la traduction et la rejoindre, indiquez le cours sur lequel vous travaillez sur le tableau de bord à l'adresse suivante :"
landing-page,etalab/landing-page,landing-page,
udata-gouvfr,etalab/udata-gouvfr,udata-gouvfr,**Note: This project is not maintained anymore. Consider using [udata-front](https://github.com/etalab/udata-front) as an alternative.**
ban-geocode,etalab/ban-geocode,BANO for Elasticsearch,This is a set of tools to index and search BANO data in Elasticsearch.
deleted-datasets-schema,etalab/deleted-datasets-schema,Schéma d'un jeu de données supprimé,Un schéma de description de jeux de données supprimés d'une plateforme d'hébergement.
ban-data,etalab/ban-data,A compléter...,"- postgresql 9.3 + PostGIS + extensions unaccent, fuzzystrmatch et trgm"
geozones,etalab/geozones,GeoZones,"_Pour une documentation relative aux niveaux administratifs français, veuillez consulter le fichier [LISEZMOI.md](LISEZMOI.md)._"
croquemort,etalab/croquemort,Croquemort,"The aim of this project is to provide a way to check HTTP resources: hunting 404s, updating redirections and so on."
GitLegistique.jl,etalab/GitLegistique.jl,GitLegistique,"Convert Git diffs of French law (in Markdown format) to legislative drafting (""légistique"" in French)."
codes-juridiques-francais,etalab/codes-juridiques-francais,Codes juridiques français,- [Codes en vigueur](codes-en-vigueur)
lois-non-codifiees-et-reglements-francais,etalab/lois-non-codifiees-et-reglements-francais,Lois non codifiées et règlements français,
plan-ogp-2015-2017,etalab/plan-ogp-2015-2017,Pour une action publique transparente et collaborative : plan d'action national pour la France 2015-2017,"Ce projet est une version au format GitBook du plan d'action pour la France 2015-2017, élaboré dans le cadre du"
labels-and-roads,etalab/labels-and-roads,Labels and roads,A minimalist CartoCSS project to render labels and roads on top of satellite imagery.
cartocss-jurpol,etalab/cartocss-jurpol,JurPol cartocss,Projet CartoCSS pour le rendu de la couche justice/police
utilery-recipe-jurpol,etalab/utilery-recipe-jurpol,== utilery-recipe-jurpol,Recette des tuiles vectorielles Justice/Police pour utilery
apicarto,etalab/apicarto,⚠️ Ce service est abandonné ⚠️,L'IGN a repris les développements à son compte. Plus d'information sur [leur site dédié](https://apicarto.ign.fr).
HackFrancophonie,etalab/HackFrancophonie,Ce répertoire :,- [Référence dans un Wiki](https://github.com/etalab/HackFrancophonie/wiki) les jeux de données ouverts et portails pertinents pour les participants à l'open data camp #HackFrancophonie
geologos,etalab/geologos,GeoLogos,Extract logos from @etalab/geozones’ data for French towns.
osem,etalab/osem,[![Stories in Ready](https://badge.waffle.io/opensuse/osem.png?label=ready&title=Ready)](https://waffle.io/opensuse/osem),
couverture-urbanisme,etalab/couverture-urbanisme,Couverture API urbanisme,- `npm start` pour développer -> `localhost:8080/webpack-dev-server`
monuments-historiques,etalab/monuments-historiques,monuments-historiques,Construction de référentiels liés aux Monuments Historiques classés ou inscrits
collectivites.data.gouv.fr,etalab/collectivites.data.gouv.fr,collectivités.data.gouv.fr,Prototype d'un portail dédié aux collectivités (et plus).
cartes.data.gouv.fr,etalab/cartes.data.gouv.fr,cartes.data.gouv.fr,Create a `umap` database in your PostgreSQL instance:
geoapi,etalab/geoapi,GéoAPI,Interrogez les référentiels géographiques plus facilement
geohisto,etalab/geohisto,⚠️ Not maintained anymore. See https://github.com/etalab/decoupage-administratif,"**Historic information for French regions, counties, overseas collectivities and towns based on INSEE and Wikipedia data, exported as (re)usable CSV files.**"
id.data.gouv.fr,etalab/id.data.gouv.fr,Single-Sign-On Authentication Provider,"This project is an <abbr title=""Single Sign-On"">SSO</abbr> Authentication"
geo.data.gouv.fr,etalab/geo.data.gouv.fr,geo.data.gouv.fr [![CircleCI](https://circleci.com/gh/etalab/geo.data.gouv.fr/tree/master.svg?style=svg)](https://circleci.com/gh/etalab/geo.data.gouv.fr/tree/master),> Trouvez facilement les données géographiques dont vous avez besoin
urbaclic,etalab/urbaclic,UrbaClic,Librairie JS d'integration d'un widget de consultation du cadastre
optimouv,etalab/optimouv,Optimouv,Le logiciel Optimouv propose des solutions d’organisation des compétitions par des choix du lieu de rencontres
retos-civicos,etalab/retos-civicos,Retos Públicos,
sirene,etalab/sirene,Ulysse,The aim of that project is to ease and speed up the kick off when the
hackdash,etalab/hackdash,HackDash,Organize hackaton ideas into a dashboard
ofsearch,etalab/ofsearch,OFSearch,Data loader and search API for french training organizations.
organismes-formation,etalab/organismes-formation,organismes-formation,
docker-datagouv,etalab/docker-datagouv,Data.gouv.fr in Docker/Docker Compose,A sample docker-compose stack for Datagouv
urbaclic-next,etalab/urbaclic-next,Urbaclic,Accéder aux règles d'urbanisme en quelques clics.
datagouv-funfacts,etalab/datagouv-funfacts,datagouv-funfacts,
secateur,etalab/secateur,Secateur,Dynamic CSV splitting based on columns’ values.
blog.data.gouv.fr,etalab/blog.data.gouv.fr,blog.data.gouv.fr,Pelican blog for Data.gouv.fr
ogptoolbox,etalab/ogptoolbox,OGPToolbox-UI,Web user interface for the OGP Toolbox
sirene_as_api,etalab/sirene_as_api,⚠ Déprécation de l'API & Avertissement concernant la sécurité ⚠,Les développements de la DINUM ont cessé sur cette API.
sirene_as_api_ansible,etalab/sirene_as_api_ansible,SIRENE_as_API_ansible,Ce répertoire ansible a pour but de vous permettre de déployer une
speedtracker,etalab/speedtracker,"<img src=""https://speedtracker.org/assets/images/logo-full-square-inverted.png"" width=""300"">",*Visualisation layer and data store for SpeedTracker*
geoids,etalab/geoids,GeoIDs,🇬🇧 Consistent identifiers for geographical levels • 🇫🇷 Identifiants cohérents pour niveaux géographiques
format-subventions,etalab/format-subventions,Format réglementaire pour la publication des données essentielles des conventions de subventions,Ce dépôt est destiné à accueillir :
Pathologies_allergiques,etalab/Pathologies_allergiques,Pathologies_allergiques,Petite étude sur les pathologies allergiques en France
osm-wms,etalab/osm-wms,Serveur WMS OpenStreetMap,* [imposm3](https://github.com/omniscale/imposm3) by omniscale - Apache Licence 2.0
piwik_logs,etalab/piwik_logs,Piwik Logs Analyzer,
quartiers-prioritaires,etalab/quartiers-prioritaires,Quartiers prioritaires,Script permettant de produire le fichier des quartiers prioritaires au format JSON.
transport-datatools-server,etalab/transport-datatools-server,Transit Data Manager,The core application for Conveyal's transit data tools suite.
catalogue_ui,etalab/catalogue_ui,MigrationProject,This project was generated with [angular-cli](https://github.com/angular/angular-cli) version 1.0.0-beta.16.
gpu-jpeg2k,etalab/gpu-jpeg2k,gpu-jpeg2k,See http://apps.man.poznan.pl/trac/jpeg2k/wiki for a description of the project.
transport-datatools-ui,etalab/transport-datatools-ui,datatools-ui,The core application for Conveyal's transit data tools suite.
user-research,etalab/user-research,Recherche utilisateur,> 🎤 Entretiens avec des utilisateurs et utilisatrices de [data.gouv.fr][datagouv] et de l'Open Data pour **aboutir à une meilleure compréhension des usages** et pour **réduire les efforts de réutilisation des données**.
blog-eig2,etalab/blog-eig2,Ce dépôt contient le site et le blog du programme Entrepreneur,Les suggestions se font sur [le dépôt EIG](https://github.com/entrepreneur-interet-general/blog-eig2) et la publication se fait en
transport-site,etalab/transport-site,Transport,This is the repository of the [french National Access Point](https://transport.data.gouv.fr/) (NAP) for mobility data.
irve,etalab/irve,irve,Scripts de contrôle et agrégation des fichiers IRVE publiés sur data.gouv.fr
majic,etalab/majic,Données MAJIC,Scripts permettant d'extraire les données MAJIC au format NDJSON.
labonneboite,etalab/labonneboite,```,_       _                            _           _ _
calculette-impots-m-source-code,etalab/calculette-impots-m-source-code,Encoding,Les fichiers de code m sont transmis par la DGFiP en utilisant l'encoding latin1.
calculette-impots-m-language-parser,etalab/calculette-impots-m-language-parser,Parser du langage M,"Ce dépôt contient un ""[parser](https://fr.wiktionary.org/wiki/parser)"" du langage dédié nommé ""M"" utilisé par le code source de la [calculette des impôts sur les revenus](https://github.com/etalab/calculette-impots-m-source-code), ainsi que le code parsé, au format json."
calculette-impots-exemples,etalab/calculette-impots-exemples,calculatrice-impots-exemples,Ce repository contient plusieurs applications basées sur la calculatrice M de l'impôt sur le revenu.
template.data.gouv.fr,etalab/template.data.gouv.fr,🚧 Ce dépôt n’est plus maintenu et a été remplacé par [template.incubateur.net](http://template.incubateur.net) 🚧,"Template CSS pour *.beta.gouv.fr, doc.data.gouv.fr et compagnie."
transport-validator-python,etalab/transport-validator-python,Transport validator,
calendrier-lavent,etalab/calendrier-lavent,Le calendrier de l'avent de l'Open Data,"> Pas de data, pas de chocolat !"
doc.data.gouv.fr,etalab/doc.data.gouv.fr,Documentation de data.gouv.fr,"Ce dépôt correspond au contenu du site [doc.data.gouv.fr](https://doc.data.gouv.fr), site consacré à la documentation de la plateforme [data.gouv.fr](https://data.gouv.fr)."
dfi,etalab/dfi,dfi,Outils permettant de manipuler les données de filiation des parcelles cadastrales
entreprise.api.gouv.fr,etalab/entreprise.api.gouv.fr,Projet archivé,Ce répertoire est archivé au profit de https://github.com/etalab/admin_api_entreprise/
api-scpc,etalab/api-scpc,API SCPC,API permettant de générer un extrait de plan cadastral à partir du service [cadastre.gouv.fr](https://www.cadastre.gouv.fr).
geo.data.gouv.fr-components,etalab/geo.data.gouv.fr-components,geo.data.gouv.fr-components,
prevair-experiment,etalab/prevair-experiment,prevair-experiment,API permettant de connaître les prévisions de concentration dans l'air de 4 polluants atmosphériques :
prevair-demo,etalab/prevair-demo,prevair-experiment-ui,
transport-ops,etalab/transport-ops,transport-ops,Scripts and config files for provision and deploy transport and required services
comptes-collectivites,etalab/comptes-collectivites,Données de comptes des collectivités,Scripts d'extraction et de remise en forme des données des comptes des collectivités.
dotation-globale-fonctionnement,etalab/dotation-globale-fonctionnement,Script d'extraction de remise en forme des données des dotation globales de fonctionnement,Les données sont temporairement disponibles en téléchargement sur http://data.cquest.org/dgcl_dgf/ afin d'obtenir un retour de réutilisateurs potentiels.
watchdoge_apientreprise,etalab/watchdoge_apientreprise,README [![Build Status](https://travis-ci.org/etalab/watchdoge_apientreprise.svg?branch=master)](https://travis-ci.org/etalab/watchdoge_apientreprise) [![Maintainability](https://api.codeclimate.com/v1/badges/ea09b1d44917a172d01e/maintainability)](https://codeclimate.com/github/etalab/watchdoge_apientreprise/maintainability) [![Test Coverage](https://api.codeclimate.com/v1/badges/ea09b1d44917a172d01e/test_coverage)](https://codeclimate.com/github/etalab/watchdoge_apientreprise/test_coverage),[![Build Status](https://travis-ci.org/etalab/watchdoge_apientreprise.svg?branch=develop)](https://travis-ci.org/etalab/watchdoge_apientreprise) (develop branch)
dashboard_api_entreprise,etalab/dashboard_api_entreprise,Dashboard API Entreprise,Ce projet est déprécié. Le dashboard fait maintenant partie intégrante du projet [Admin API Entreprise](https://github.com/etalab/admin_api_entreprise).
transport-gtfs-lib,etalab/transport-gtfs-lib,gtfs-lib [![Build Status](https://travis-ci.org/conveyal/gtfs-lib.svg?branch=master)](https://travis-ci.org/conveyal/gtfs-lib),A library for loading and saving GTFS feeds of arbitrary size with disk-backed storage.
doc.entreprise.api.gouv.fr,etalab/doc.entreprise.api.gouv.fr,"<p align=""center"">","<img src=""https://raw.githubusercontent.com/lord/img/master/logo-slate.png"" alt=""Slate: API Documentation Generator"" width=""226"">"
piwik-covisits,etalab/piwik-covisits,Recommendations data.gouv.fr à partir des visites Matomo,Ce dépôt permet de générer des recommendations sur data.gouv.fr à l'aide du plugin [udata-recommendations](https://github.com/opendatateam/udata-recommendations). Les recommendations sont tirées des visites de data.gouv.fr [enregistrées par Matomo](https://stats.data.gouv.fr/index.php?module=CoreHome&action=index&idSite=109).
csvapi,etalab/csvapi,csvapi,"""Instantly"" publish an API for a CSV hosted anywhere on the internet. Also supports Excel files."
agd.data.gouv.fr,etalab/agd.data.gouv.fr,agd.data.gouv.fr,Le site de l'AGD.
udata-geoplatform,etalab/udata-geoplatform,⚠️ This repository is archived following the extinction of geo.data.gouv.fr.,Connects uData with Geoplatform (geo.data.gouv.fr)
template-jekyll,etalab/template-jekyll,Template Jekyll,Theme/Template beta/data.gouv.fr pour Jekyll
fridaylab,etalab/fridaylab,fridaylab,"Le *fridaylab*, c'est un moment ouvert à tous le vendredi après-midi pour travailler ensemble en atelier."
wiki-data-gouv,etalab/wiki-data-gouv,Wiki(data)gouv,> Créer des liens entre wikidata et datagouv.
monReseauMobile,etalab/monReseauMobile,monReseauMobile,Here we have the code of the french telecommunication regulator for the mobile services observatory.
jours-feries-france,etalab/jours-feries-france,[![Software License](https://img.shields.io/badge/License-MIT-orange.svg?style=flat-square)](https://github.com/etalab/jours-feries-france/blob/master/LICENSE.md),Cette librairie calcule les jours fériés en France. Vous pouvez découvrir plus de détails sur les jours fériés français sur [service-public.fr](https://www.service-public.fr/particuliers/vosdroits/F2405).
rncs_worker_api_entreprise,etalab/rncs_worker_api_entreprise,Environment setup,Fichiers de données source
rna_as_api,etalab/rna_as_api,[![Build Status](https://travis-ci.org/etalab/rna_as_api.svg?branch=master)](https://travis-ci.org/etalab/rna_as_api),"Dans le cadre du [Service Public de la Donnée](https://www.data.gouv.fr/fr/reference), certains jeux de données sont devenus publics. C'est le cas du Répertoire National des Associations."
taxe-habitation,etalab/taxe-habitation,Taxe d'habitation 2017,Le code de la taxe d'habitation est produit par la **[Direction
etalab,etalab/etalab,👋 README,Bienvenue au sein de l'équipe Etalab. Tu trouveras dans cet espace les informations nécessaires à ton arrivée. C'est un document ouvert et collaboratif. N'hésite pas à proposer des améliorations !
etalab.studio,etalab/etalab.studio,etalab.studio,Liste des projets dans le studio
cada_explore,etalab/cada_explore,cada_explore,Exploring the CADA dataset
project-legal,etalab/project-legal,@etalab/project-legal,> Projection de coordonnées WGS-84 vers le système légal français en vigueur
api-rpg,etalab/api-rpg,api-rpg,API permettant d'interroger les parcelles agricoles du Référentiel Parcellaire Graphique
epci,etalab/epci,@etalab/epci,> API JavaScript permettant d'interroger la base des EPCI à fiscalité propre
etalab.gouv.fr,etalab/etalab.gouv.fr,etalab.gouv.fr,
transpo-rt,etalab/transpo-rt,transpo-rt,Simple API for public transport realtime data.
api-codes-sources-fr,etalab/api-codes-sources-fr,[![CircleCI build status](https://img.shields.io/circleci/project/github/etalab/api-codes-sources-fr.svg?style=flat-square)](https://circleci.com/gh/etalab/api-codes-sources-fr),**Archivé** : ce dépôt est archivé et l'API n'est plus en place.
data-codes-sources-fr,etalab/data-codes-sources-fr,[![CircleCI build status](https://img.shields.io/circleci/project/github/etalab/data-codes-sources-fr.svg?style=flat-square)](https://circleci.com/gh/etalab/data-codes-sources-fr),**Archivé** : ce dépôt est archivé et l'API n'est plus en place.
data.etalab.studio,etalab/data.etalab.studio,⧊,This a [Lektor](https://www.getlektor.com/docs/) proof of concept for on open data static portal.
notebooks,etalab/notebooks,Workflow,"- git -> papermill -> [s3, commuter]"
autopsy,etalab/autopsy,Autopsy,Ce dépôt contient un ensemble de fichier de configuration docker permettant l'instanciation d'un service de consultation de notebooks python et l'automatisation périodique d'exécution de ces notebooks.
algorithmes-publics,etalab/algorithmes-publics,**Ce dépôt est archivé.**,"La plus grande partie de son contenu a été transféré sur [le dépôt des guides d'Etalab](https://github.com/etalab/guides.etalab.gouv.fr), auquel vous pouvez vous référer pour faire des commentaires, ouvrir des tickets ou proposer des contributions."
pseudononymizer,etalab/pseudononymizer,This project is no longer in development. It has been superseeded by https://github.com/etalab-ia/pseudo_api and https://github.com/etalab-ia/pseudo_app,A Simple Keras (UKP BiLSTM + CRF) pseudonymization REST 'API'
csv-gg,etalab/csv-gg,⚠️ **This tool has been integrated to https://github.com/etalab/publier.etalab.studio and is not supported anymore.**,This app dynamically generates a form based on a [TableSchema](https://frictionlessdata.io/specs/table-schema/) specification for a CSV file. It then uses a [Validata](https://git.opendatafrance.net/validata/) API to validate each row. The resulting CSV can be downloaded afterwards.
DVF-app,etalab/DVF-app,Explorer les données de DVF (Demandes de Valeur Foncière),"La base de données DVF recense les mutations à titre onéreux (vente, vente en l'état futur d'achèvement, vente terrain à bâtir, échange, adjudication, expropriation) advenues les 5 dernières années."
schema-irve,etalab/schema-irve,Infrastructures de recharge pour véhicules électriques,Il existe deux schémas relatifs aux données des points de recharge pour véhicules électriques :
schema-decp-dpa,etalab/schema-decp-dpa,Déclaration des profils d'acheteur,> La déclaration du profil d’acheteur est effectuée par l’acheteur ou toute personne habilitée par celui-ci sur le portail unique interministériel (data.gouv.fr) destiné à rassembler et à mettre à disposition librement l’ensemble des informations publiques.
stars_detective,etalab/stars_detective,stars_detective,Script to determine the proportion of datasets that comply with the [Tim Berners Lee 5-stars](https://5stardata.info/en/) system in the open data portal *data.gouv.fr* (dgf). In `output_files/` you can find a csv file containing the `dataset_id` and the number of stars for each dataset.
vuepress-theme-gouv-fr,etalab/vuepress-theme-gouv-fr,"[![npm](https://img.shields.io/npm/v/vuepress-theme-gouv-fr.svg?style=flat-square)](https://npmjs.org/package/vuepress-theme-gouv-fr ""View this project on npm"")","[![NPM](https://img.shields.io/npm/l/vuepress-theme-gouv-fr.svg?style=flat-square)](https://npmjs.org/package/vuepress-theme-gouv-fr ""View this project on npm"")"
vuepress-gouv-fr-demo,etalab/vuepress-gouv-fr-demo,---,
csv_detective_api,etalab/csv_detective_api,CSV Detective API and Frontend,"[CSV Detective](https://github.com/etalab/csv_detective) is a tool that gives you information about a CSV, such as its encoding and separator, as well as the type of columns contained inside: whether there are columns containing a SIRET or a SIREN number, a postal code, a department or a commune name, a geographic position, etc."
